Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2023-01-02 Kl. 07-08;1.81755;1.81755;1.47875;0.79284;1.81755
2023-01-02 Kl. 08-09;1.92001;1.92001;1.46375;0.87565;1.92001
2023-01-02 Kl. 09-10;1.95908;1.95908;1.51176;0.93552;1.95908
2023-01-02 Kl. 10-11;1.97236;1.97236;1.51189;0.94278;1.97236
2023-01-02 Kl. 11-12;1.94171;1.94171;1.54621;0.99128;1.94171
2023-01-02 Kl. 12-13;1.95566;1.95566;1.72654;1.00181;1.95566
2023-01-02 Kl. 13-14;1.94738;1.94738;1.89081;1.00202;1.94738
2023-01-02 Kl. 14-15;2.00498;2.00498;1.94921;1.20225;2.00498
2023-01-02 Kl. 15-16;2.04313;2.04313;2.04313;1.20152;2.04313
2023-01-02 Kl. 16-17;2.14243;2.14243;2.14243;1.00801;2.14243
2023-01-02 Kl. 17-18;2.23594;2.23594;2.23594;0.99192;2.23594
2023-01-02 Kl. 18-19;2.29829;2.29829;2.29829;0.99149;2.29829
2023-01-02 Kl. 19-20;2.16308;2.16308;2.16308;0.99181;2.16308
2023-01-02 Kl. 20-21;2.01235;2.01235;2.01235;0.99107;2.01235
2023-01-02 Kl. 21-22;1.86688;1.86688;1.86333;0.94236;1.86688
2023-01-02 Kl. 22-23;1.81138;1.81138;1.73180;0.90869;1.81138
2023-01-02 Kl. 23-00;1.70589;1.70589;1.55280;0.87607;1.70589
2023-01-03 Kl. 00-01;1.76056;1.76056;1.17699;0.54861;1.76056
2023-01-03 Kl. 01-02;1.62830;1.62830;1.08164;0.54819;1.62830
2023-01-03 Kl. 02-03;1.60978;1.60978;1.05550;0.53631;1.60978
2023-01-03 Kl. 03-04;1.56039;1.56039;1.05103;0.53253;1.56039
2023-01-03 Kl. 04-05;1.54188;1.54188;1.05498;0.54819;1.54188
2023-01-03 Kl. 05-06;1.65955;1.65955;1.14651;0.54903;1.65955
2023-01-03 Kl. 06-07;1.78723;1.78723;1.35076;0.59946;1.78723
2023-01-03 Kl. 07-08;2.03534;2.03534;1.34656;0.64065;2.03534
2023-01-03 Kl. 08-09;2.15303;2.15303;1.41446;0.75844;2.15303
2023-01-03 Kl. 09-10;2.19440;2.19440;1.34669;0.84786;2.19440
2023-01-03 Kl. 10-11;2.21410;2.21410;1.34656;0.90376;2.21410
2023-01-03 Kl. 11-12;2.22618;2.22618;1.41788;0.97564;2.22618
2023-01-03 Kl. 12-13;2.16064;2.16064;1.42405;0.97595;2.16064
2023-01-03 Kl. 13-14;2.11349;2.11349;1.43233;0.98772;2.11349
2023-01-03 Kl. 14-15;2.14173;2.14173;1.45386;0.98804;2.14173
2023-01-03 Kl. 15-16;2.20306;2.20306;1.56079;0.98804;2.20306
2023-01-03 Kl. 16-17;2.18835;2.18835;1.53544;0.98762;2.18835
2023-01-03 Kl. 17-18;2.24234;2.24234;1.51691;0.98751;2.24234
2023-01-03 Kl. 18-19;2.21883;2.21883;1.57615;0.97532;2.21883
2023-01-03 Kl. 19-20;2.11454;2.11454;1.58824;0.92089;2.11454
2023-01-03 Kl. 20-21;1.96520;1.96520;1.57576;0.94327;1.96520
2023-01-03 Kl. 21-22;1.74034;1.74034;1.57248;0.84776;1.74034
2023-01-03 Kl. 22-23;1.58456;1.58456;1.50089;0.79343;1.58456
2023-01-03 Kl. 23-00;1.31831;1.31831;1.23019;0.70885;1.31831
2023-01-04 Kl. 00-01;1.21601;1.21601;1.08884;0.59676;1.21601
2023-01-04 Kl. 01-02;1.11578;1.11578;1.03576;0.56754;1.11578
2023-01-04 Kl. 02-03;0.91871;0.91871;0.91871;0.54410;0.91871
2023-01-04 Kl. 03-04;0.90991;0.90991;0.90991;0.54169;0.90991
2023-01-04 Kl. 04-05;0.94263;0.94263;0.94263;0.54158;0.94263
2023-01-04 Kl. 05-06;1.07374;1.07374;0.98295;0.54127;1.07374
2023-01-04 Kl. 06-07;1.14875;1.14875;0.99031;0.54221;1.14875
2023-01-04 Kl. 07-08;1.38023;1.38023;1.01369;0.59497;1.38023
2023-01-04 Kl. 08-09;1.51029;1.51029;1.03366;0.59960;1.51029
2023-01-04 Kl. 09-10;1.64810;1.64810;1.03748;0.59960;1.64810
2023-01-04 Kl. 10-11;1.66834;1.66834;0.99780;0.59571;1.66834
2023-01-04 Kl. 11-12;1.65993;1.65993;1.03786;0.58930;1.65993
2023-01-04 Kl. 12-13;1.62616;1.62616;1.03813;0.56576;1.62616
2023-01-04 Kl. 13-14;1.60029;1.60029;1.04391;0.56365;1.60029
2023-01-04 Kl. 14-15;1.58176;1.58176;1.04916;0.55430;1.58176
2023-01-04 Kl. 15-16;1.62761;1.62761;1.04759;0.56271;1.62761
2023-01-04 Kl. 16-17;1.66913;1.66913;1.06178;0.54158;1.66913
2023-01-04 Kl. 17-18;1.67031;1.67031;1.13194;0.54137;1.67031
2023-01-04 Kl. 18-19;1.65783;1.65783;0.94959;0.54127;1.65783
2023-01-04 Kl. 19-20;1.62538;1.62538;0.87509;0.54095;1.62538
2023-01-04 Kl. 20-21;1.57795;1.57795;0.81624;0.53980;1.57795
2023-01-04 Kl. 21-22;1.60055;1.60055;0.75225;0.53559;1.60055
2023-01-04 Kl. 22-23;1.51923;1.51923;0.49844;0.39875;1.51923
2023-01-04 Kl. 23-00;1.44448;1.44448;0.40490;0.32392;1.44448
2023-01-05 Kl. 00-01;1.35683;1.35683;0.40230;0.32184;1.35683
2023-01-05 Kl. 01-02;1.29868;1.29868;0.37711;0.30169;1.29868
2023-01-05 Kl. 02-03;1.28930;1.28930;0.37083;0.29666;1.28930
2023-01-05 Kl. 03-04;1.20731;1.20731;0.37190;0.29752;1.20731
2023-01-05 Kl. 04-05;1.33848;1.33848;0.38355;0.30684;1.33848
2023-01-05 Kl. 05-06;1.35683;1.35683;0.53319;0.42655;1.35683
2023-01-05 Kl. 06-07;1.47391;1.47391;0.83998;0.51218;1.47391
2023-01-05 Kl. 07-08;1.61083;1.61083;1.14583;0.52847;1.61083
2023-01-05 Kl. 08-09;1.63615;1.63615;1.19848;0.55098;1.63615
2023-01-05 Kl. 09-10;1.73569;1.73569;1.20504;0.57392;1.73569
2023-01-05 Kl. 10-11;1.82384;1.82384;1.22191;0.57188;1.82384
2023-01-05 Kl. 11-12;1.91668;1.91668;1.17289;0.55516;1.91668
2023-01-05 Kl. 12-13;1.88774;1.88774;1.11984;0.55055;1.88774
2023-01-05 Kl. 13-14;1.91359;1.91359;1.11528;0.55012;1.91359
2023-01-05 Kl. 14-15;2.00148;2.00148;1.11769;0.55366;2.00148
2023-01-05 Kl. 15-16;2.07918;2.07918;1.18348;0.54937;2.07918
2023-01-05 Kl. 16-17;2.24235;2.24235;1.16874;0.54487;2.24235
2023-01-05 Kl. 17-18;2.53279;2.53279;1.09559;0.53062;2.53279
2023-01-05 Kl. 18-19;2.52944;2.52944;1.09960;0.52462;2.52944
2023-01-05 Kl. 19-20;2.30799;2.30799;1.10014;0.52247;2.30799
2023-01-05 Kl. 20-21;2.12660;2.12660;1.08715;0.51872;2.12660
2023-01-05 Kl. 21-22;1.99103;1.99103;1.10911;0.51251;1.99103
2023-01-05 Kl. 22-23;1.89123;1.89123;1.07255;0.50800;1.89123
2023-01-05 Kl. 23-00;1.70139;1.70139;1.03316;0.50361;1.70139
2023-01-06 Kl. 00-01;1.47544;1.47544;0.97086;0.40023;1.47544
2023-01-06 Kl. 01-02;1.39580;1.39580;0.95320;0.40045;1.39580
2023-01-06 Kl. 02-03;1.33316;1.33316;0.94905;0.40055;1.33316
2023-01-06 Kl. 03-04;1.13723;1.13723;0.94638;0.40055;1.13723
2023-01-06 Kl. 04-05;1.13174;1.13174;0.94931;0.42968;1.13174
2023-01-06 Kl. 05-06;1.16051;1.16051;0.95775;0.40055;1.16051
2023-01-06 Kl. 06-07;1.34320;1.34320;0.96418;0.51523;1.34320
2023-01-06 Kl. 07-08;1.48468;1.48468;0.99830;0.52722;1.48468
2023-01-06 Kl. 08-09;1.61544;1.61544;1.11715;0.53760;1.61544
2023-01-06 Kl. 09-10;1.60700;1.60700;1.21579;0.54874;1.60700
2023-01-06 Kl. 10-11;1.56565;1.56565;1.20655;0.55848;1.56565
2023-01-06 Kl. 11-12;1.56578;1.56578;1.21968;0.55698;1.56578
2023-01-06 Kl. 12-13;1.58505;1.58505;1.18915;0.56073;1.58505
2023-01-06 Kl. 13-14;1.55841;1.55841;1.14285;0.56255;1.55841
2023-01-06 Kl. 14-15;1.61463;1.61463;1.10965;0.56619;1.61463
2023-01-06 Kl. 15-16;1.72451;1.72451;1.07271;0.56833;1.72451
2023-01-06 Kl. 16-17;1.81513;1.81513;1.04126;0.55752;1.81513
2023-01-06 Kl. 17-18;2.01721;2.01721;1.01731;0.55013;2.01721
2023-01-06 Kl. 18-19;1.95043;1.95043;1.01101;0.54103;1.95043
2023-01-06 Kl. 19-20;1.89930;1.89930;0.99616;0.53257;1.89930
2023-01-06 Kl. 20-21;1.80763;1.80763;0.99816;0.53064;1.80763
2023-01-06 Kl. 21-22;1.71274;1.71274;0.99321;0.52572;1.71274
2023-01-06 Kl. 22-23;1.68744;1.68744;0.98559;0.52079;1.68744
2023-01-06 Kl. 23-00;1.62346;1.62346;0.96016;0.51662;1.62346
2023-01-07 Kl. 00-01;1.53168;1.53168;0.96684;0.40568;1.53168
2023-01-07 Kl. 01-02;1.37303;1.37303;0.94336;0.40395;1.37303
2023-01-07 Kl. 02-03;1.33445;1.33445;0.94350;0.40201;1.33445
2023-01-07 Kl. 03-04;1.22221;1.22221;0.95038;0.38884;1.22221
2023-01-07 Kl. 04-05;1.15543;1.15543;0.94606;0.38193;1.15543
2023-01-07 Kl. 05-06;1.16366;1.16366;0.94958;0.37632;1.16366
2023-01-07 Kl. 06-07;1.26363;1.26363;0.97911;0.39100;1.26363
2023-01-07 Kl. 07-08;1.42659;1.42659;1.02485;0.40179;1.42659
2023-01-07 Kl. 08-09;1.50901;1.50901;1.05506;0.42607;1.50901
2023-01-07 Kl. 09-10;1.51090;1.51090;1.03105;0.47496;1.51090
2023-01-07 Kl. 10-11;1.44048;1.44048;1.05331;0.47518;1.44048
2023-01-07 Kl. 11-12;1.36520;1.36520;1.06613;0.47582;1.36520
2023-01-07 Kl. 12-13;1.36911;1.36911;1.07989;0.47734;1.36911
2023-01-07 Kl. 13-14;1.34888;1.34888;1.08771;0.47852;1.34888
2023-01-07 Kl. 14-15;1.34794;1.34794;1.08609;0.48068;1.34794
2023-01-07 Kl. 15-16;1.34093;1.34093;1.06491;0.48176;1.34093
2023-01-07 Kl. 16-17;1.34888;1.34888;1.07826;0.48036;1.34888
2023-01-07 Kl. 17-18;1.37006;1.37006;1.06140;0.47885;1.37006
2023-01-07 Kl. 18-19;1.38558;1.38558;1.04980;0.47895;1.38558
2023-01-07 Kl. 19-20;1.31678;1.31678;1.00354;0.47032;1.31678
2023-01-07 Kl. 20-21;1.22315;1.22315;0.90358;0.42963;1.22315
2023-01-07 Kl. 21-22;1.00623;1.00623;0.80928;0.40557;1.00623
2023-01-07 Kl. 22-23;0.87633;0.87633;0.65831;0.39996;0.87633
2023-01-07 Kl. 23-00;0.53245;0.53245;0.48430;0.37557;0.53245
2023-01-08 Kl. 00-01;0.32541;0.32541;0.32541;0.26033;0.32541
2023-01-08 Kl. 01-02;0.12463;0.12463;0.26923;0.21538;0.54950
2023-01-08 Kl. 02-03;0.12503;0.12503;0.21158;0.16926;0.29533
2023-01-08 Kl. 03-04;0.05713;0.05713;0.18574;0.14859;0.28560
2023-01-08 Kl. 04-05;0.07669;0.07669;0.14740;0.11792;0.14740
2023-01-08 Kl. 05-06;0.13634;0.13634;0.24913;0.19930;0.24913
2023-01-08 Kl. 06-07;0.12396;0.12396;0.30956;0.24765;0.30956
2023-01-08 Kl. 07-08;0.22621;0.22621;0.32063;0.25650;0.32063
2023-01-08 Kl. 08-09;0.68145;0.68145;0.36056;0.28845;0.68145
2023-01-08 Kl. 09-10;1.13549;1.13549;0.38719;0.30975;1.13549
2023-01-08 Kl. 10-11;1.28754;1.28754;0.46895;0.37516;1.28754
2023-01-08 Kl. 11-12;1.41589;1.41589;0.62579;0.39742;1.41589
2023-01-08 Kl. 12-13;1.39725;1.39725;0.62579;0.39806;1.39725
2023-01-08 Kl. 13-14;1.36036;1.36036;0.65189;0.39774;1.36036
2023-01-08 Kl. 14-15;1.43174;1.43174;0.73111;0.37558;1.43174
2023-01-08 Kl. 15-16;1.42401;1.42401;0.84535;0.37526;1.42401
2023-01-08 Kl. 16-17;1.49151;1.49151;0.88024;0.37505;1.49151
2023-01-08 Kl. 17-18;1.57168;1.57168;0.92125;0.37494;1.57168
2023-01-08 Kl. 18-19;1.58605;1.58605;0.93084;0.36791;1.58605
2023-01-08 Kl. 19-20;1.49924;1.49924;0.87371;0.35343;1.49924
2023-01-08 Kl. 20-21;1.42814;1.42814;0.81194;0.37484;1.42814
2023-01-08 Kl. 21-22;1.35251;1.35251;0.76440;0.35630;1.35251
2023-01-08 Kl. 22-23;1.36264;1.36264;0.66600;0.33830;1.36264
2023-01-08 Kl. 23-00;1.11884;1.11884;0.61634;0.33223;1.11884
2023-01-09 Kl. 00-01;1.03336;1.03336;0.91925;0.51704;1.03336
2023-01-09 Kl. 01-02;0.95746;0.95746;0.85720;0.51906;0.95746
2023-01-09 Kl. 02-03;0.82911;0.82911;0.80261;0.51725;0.82911
2023-01-09 Kl. 03-04;0.65363;0.65363;0.52474;0.41979;0.65363
2023-01-09 Kl. 04-05;0.98529;0.98529;0.63033;0.50426;0.98529
2023-01-09 Kl. 05-06;1.24320;1.24320;0.91859;0.51384;1.24320
2023-01-09 Kl. 06-07;1.46929;1.46929;1.10126;0.52130;1.46929
2023-01-09 Kl. 07-08;1.70909;1.70909;1.08809;0.54037;1.70909
2023-01-09 Kl. 08-09;1.96153;1.96153;1.09980;0.55943;1.96153
2023-01-09 Kl. 09-10;2.14448;2.14448;1.10513;0.57168;2.14448
2023-01-09 Kl. 10-11;2.05234;2.05234;1.10046;0.56593;2.05234
2023-01-09 Kl. 11-12;2.06791;2.06791;1.10579;0.57349;2.06791
2023-01-09 Kl. 12-13;1.81733;1.81733;1.10406;0.52119;1.81733
2023-01-09 Kl. 13-14;1.78365;1.78365;1.10246;0.44929;1.78365
2023-01-09 Kl. 14-15;1.85235;1.85235;1.10073;0.49105;1.85235
2023-01-09 Kl. 15-16;1.94915;1.94915;1.10553;0.49520;1.94915
2023-01-09 Kl. 16-17;2.08841;2.08841;1.09726;0.49254;2.08841
2023-01-09 Kl. 17-18;2.19268;2.19268;1.08343;0.49201;2.19268
2023-01-09 Kl. 18-19;2.17484;2.17484;1.06798;0.49009;2.17484
2023-01-09 Kl. 19-20;2.09974;2.09974;1.06744;0.48860;2.09974
2023-01-09 Kl. 20-21;1.93158;1.93158;1.09608;0.49083;1.93158
2023-01-09 Kl. 21-22;1.79256;1.79256;1.09394;0.49297;1.79256
2023-01-09 Kl. 22-23;1.70575;1.70575;1.06065;0.45302;1.70575
2023-01-09 Kl. 23-00;1.48979;1.48979;1.04361;0.42522;1.48979
2023-01-10 Kl. 00-01;1.44879;1.44879;0.93118;0.37422;1.44879
2023-01-10 Kl. 01-02;1.32431;1.32431;0.92919;0.37422;1.32431
2023-01-10 Kl. 02-03;1.30139;1.30139;0.93158;0.37411;1.30139
2023-01-10 Kl. 03-04;1.23618;1.23618;0.93290;0.37411;1.23618
2023-01-10 Kl. 04-05;1.32431;1.32431;0.94085;0.37432;1.32431
2023-01-10 Kl. 05-06;1.48524;1.48524;0.96166;0.37443;1.48524
2023-01-10 Kl. 06-07;1.75829;1.75829;0.98989;0.41897;1.75829
2023-01-10 Kl. 07-08;1.98748;1.98748;1.22941;0.39702;1.98748
2023-01-10 Kl. 08-09;2.12784;2.12784;1.32034;0.40391;2.12784
2023-01-10 Kl. 09-10;2.06475;2.06475;1.29184;0.41992;2.06475
2023-01-10 Kl. 10-11;1.98748;1.98748;1.30191;0.42342;1.98748
2023-01-10 Kl. 11-12;1.88104;1.88104;1.38304;0.43339;1.88104
2023-01-10 Kl. 12-13;1.85664;1.85664;1.45236;0.41377;1.85664
2023-01-10 Kl. 13-14;1.85531;1.85531;1.67969;0.45078;1.85531
2023-01-10 Kl. 14-15;1.87149;1.87149;1.67876;0.46107;1.87149
2023-01-10 Kl. 15-16;1.87811;1.87811;1.66074;0.47008;1.87811
2023-01-10 Kl. 16-17;1.84658;1.84658;1.58770;0.46308;1.84658
2023-01-10 Kl. 17-18;1.88355;1.88355;1.54714;0.43190;1.88355
2023-01-10 Kl. 18-19;1.81701;1.81701;1.42466;0.41653;1.81701
2023-01-10 Kl. 19-20;1.60996;1.60996;1.45886;0.42056;1.60996
2023-01-10 Kl. 20-21;1.44653;1.44653;1.40028;0.41876;1.44653
2023-01-10 Kl. 21-22;1.28973;1.28973;1.14696;0.41685;1.28973
2023-01-10 Kl. 22-23;1.11224;1.11224;1.05179;0.40412;1.11224
2023-01-10 Kl. 23-00;0.73924;0.73924;0.73924;0.43456;0.73924
2023-01-11 Kl. 00-01;0.56089;0.56089;0.56089;0.41103;0.70769
2023-01-11 Kl. 01-02;0.37006;0.37006;0.37006;0.29605;0.71236
2023-01-11 Kl. 02-03;0.33590;0.33590;0.33590;0.26872;0.68860
2023-01-11 Kl. 03-04;0.30120;0.30120;0.32563;0.26050;0.67566
2023-01-11 Kl. 04-05;0.34016;0.34016;0.34016;0.27213;0.66311
2023-01-11 Kl. 05-06;0.35498;0.35498;0.35498;0.28398;0.59999
2023-01-11 Kl. 06-07;0.82486;0.82486;0.64776;0.38049;0.82486
2023-01-11 Kl. 07-08;1.32690;1.32690;0.95404;0.42523;1.32690
2023-01-11 Kl. 08-09;1.58966;1.58966;0.97031;0.44071;1.58966
2023-01-11 Kl. 09-10;1.68868;1.68868;0.93363;0.44636;1.68868
2023-01-11 Kl. 10-11;1.70323;1.70323;0.91934;0.44434;1.70323
2023-01-11 Kl. 11-12;1.66560;1.66560;0.92468;0.44145;1.66560
2023-01-11 Kl. 12-13;1.56124;1.56124;0.91894;0.44498;1.56124
2023-01-11 Kl. 13-14;1.51026;1.51026;0.89145;0.44530;1.51026
2023-01-11 Kl. 14-15;1.54455;1.54455;0.92775;0.43430;1.54455
2023-01-11 Kl. 15-16;1.57071;1.57071;1.01303;0.43686;1.57071
2023-01-11 Kl. 16-17;1.59073;1.59073;1.02544;0.43878;1.59073
2023-01-11 Kl. 17-18;1.71190;1.71190;0.98860;0.43612;1.71190
2023-01-11 Kl. 18-19;1.71831;1.71831;1.00195;0.43473;1.71831
2023-01-11 Kl. 19-20;1.63744;1.63744;0.90733;0.43259;1.63744
2023-01-11 Kl. 20-21;1.52881;1.52881;0.86956;0.42982;1.52881
2023-01-11 Kl. 21-22;1.35091;1.35091;0.80084;0.42576;1.35091
2023-01-11 Kl. 22-23;1.26298;1.26298;0.66605;0.39971;1.26298
2023-01-11 Kl. 23-00;0.95430;0.95430;0.57811;0.37526;0.95430
2023-01-12 Kl. 00-01;0.95146;0.95146;0.33123;0.26498;0.95146
2023-01-12 Kl. 01-02;0.08224;0.08224;0.32585;0.26068;0.79116
2023-01-12 Kl. 02-03;0.19779;0.19779;0.32531;0.26025;0.77814
2023-01-12 Kl. 03-04;0.20236;0.20236;0.32544;0.26035;0.77424
2023-01-12 Kl. 04-05;0.53626;0.53626;0.32598;0.26078;0.77303
2023-01-12 Kl. 05-06;0.67158;0.67158;0.33511;0.26809;0.79050
2023-01-12 Kl. 06-07;1.23391;1.23391;0.48386;0.38709;1.23391
2023-01-12 Kl. 07-08;1.49889;1.49889;0.80595;0.42020;1.49889
2023-01-12 Kl. 08-09;1.45348;1.45348;0.87583;0.42697;1.45348
2023-01-12 Kl. 09-10;1.38468;1.38468;0.87380;0.44385;1.38468
2023-01-12 Kl. 10-11;1.38119;1.38119;0.89086;0.44611;1.38119
2023-01-12 Kl. 11-12;1.39905;1.39905;0.89651;0.44589;1.39905
2023-01-12 Kl. 12-13;1.38643;1.38643;0.89490;0.44546;1.38643
2023-01-12 Kl. 13-14;1.37876;1.37876;0.95200;0.44514;1.37876
2023-01-12 Kl. 14-15;1.39449;1.39449;0.99111;0.44213;1.39449
2023-01-12 Kl. 15-16;1.41330;1.41330;1.00025;0.43740;1.41330
2023-01-12 Kl. 16-17;1.40349;1.40349;1.00521;0.43106;1.40349
2023-01-12 Kl. 17-18;1.55009;1.55009;1.02645;0.43213;1.55009
2023-01-12 Kl. 18-19;1.60558;1.60558;1.05681;0.43482;1.60558
2023-01-12 Kl. 19-20;1.44273;1.44273;1.07254;0.43890;1.44273
2023-01-12 Kl. 20-21;1.37486;1.37486;0.99541;0.45460;1.37486
2023-01-12 Kl. 21-22;1.31319;1.31319;1.00629;0.44987;1.31319
2023-01-12 Kl. 22-23;1.15934;1.15934;1.00656;0.44987;1.15934
2023-01-12 Kl. 23-00;0.57094;0.57094;0.92500;0.44793;0.92500
2023-01-13 Kl. 00-01;0.54519;0.54519;0.96269;0.35020;0.96269
2023-01-13 Kl. 01-02;0.29331;0.29331;0.93720;0.26394;0.93720
2023-01-13 Kl. 02-03;0.22183;0.22183;0.93909;0.26383;0.93909
2023-01-13 Kl. 03-04;0.24758;0.24758;0.94458;0.26416;0.94458
2023-01-13 Kl. 04-05;0.33288;0.33288;0.95464;0.26630;0.95464
2023-01-13 Kl. 05-06;0.40664;0.40664;0.97865;0.32531;0.97865
2023-01-13 Kl. 06-07;0.77961;0.77961;1.02089;0.48550;1.02089
2023-01-13 Kl. 07-08;1.21751;1.21751;1.21751;0.59848;1.21751
2023-01-13 Kl. 08-09;1.45959;1.45959;1.32789;0.61264;1.45959
2023-01-13 Kl. 09-10;1.39011;1.39011;1.34599;0.65749;1.39011
2023-01-13 Kl. 10-11;1.31568;1.31568;1.31568;0.64150;1.31568
2023-01-13 Kl. 11-12;1.26311;1.26311;1.26311;0.63367;1.26311
2023-01-13 Kl. 12-13;1.23709;1.23709;1.23709;0.69848;1.23709
2023-01-13 Kl. 13-14;1.22086;1.22086;1.22086;0.69794;1.22086
2023-01-13 Kl. 14-15;1.21764;1.21764;1.08875;0.61168;1.21764
2023-01-13 Kl. 15-16;1.26311;1.26311;1.11518;0.59848;1.26311
2023-01-13 Kl. 16-17;1.31246;1.31246;1.14415;0.59859;1.31246
2023-01-13 Kl. 17-18;1.34116;1.34116;1.29959;0.61264;1.34116
2023-01-13 Kl. 18-19;1.34210;1.34210;1.29020;0.61221;1.34210
2023-01-13 Kl. 19-20;1.32749;1.32749;1.22140;0.59848;1.32749
2023-01-13 Kl. 20-21;1.28121;1.28121;1.13919;0.59043;1.28121
2023-01-13 Kl. 21-22;1.26311;1.26311;1.05993;0.53528;1.26311
2023-01-13 Kl. 22-23;1.29798;1.29798;1.06059;0.49827;1.29798
2023-01-13 Kl. 23-00;1.26311;1.26311;1.03699;0.46458;1.26311
2023-01-14 Kl. 00-01;1.37998;1.37998;0.94931;0.45128;1.37998
2023-01-14 Kl. 01-02;1.29681;1.29681;0.93219;0.45021;1.29681
2023-01-14 Kl. 02-03;1.22514;1.22514;0.92498;0.45032;1.28691
2023-01-14 Kl. 03-04;1.07459;1.07459;0.92083;0.45192;1.28531
2023-01-14 Kl. 04-05;0.56424;0.56424;0.92939;0.44604;1.28438
2023-01-14 Kl. 05-06;0.56664;0.56664;0.95733;0.44583;1.28424
2023-01-14 Kl. 06-07;0.62294;0.62294;1.11323;0.45706;1.16524
2023-01-14 Kl. 07-08;1.06911;1.06911;1.06911;0.45011;1.06911
2023-01-14 Kl. 08-09;1.15441;1.15441;1.15321;0.45192;1.15441
2023-01-14 Kl. 09-10;1.29400;1.29400;1.17166;0.45984;1.29400
2023-01-14 Kl. 10-11;1.33611;1.33611;1.19131;0.46315;1.33611
2023-01-14 Kl. 11-12;1.37021;1.37021;1.19038;0.46647;1.37021
2023-01-14 Kl. 12-13;1.35858;1.35858;1.14799;0.47021;1.35858
2023-01-14 Kl. 13-14;1.29654;1.29654;1.07299;0.47620;1.29654
2023-01-14 Kl. 14-15;1.29640;1.29640;1.00065;0.47834;1.29640
2023-01-14 Kl. 15-16;1.29628;1.29628;0.98901;0.48433;1.29628
2023-01-14 Kl. 16-17;1.33679;1.33679;1.01496;0.48883;1.33679
2023-01-14 Kl. 17-18;1.37101;1.37101;0.98448;0.49300;1.37101
2023-01-14 Kl. 18-19;1.39334;1.39334;0.92939;0.49706;1.39334
2023-01-14 Kl. 19-20;1.38051;1.38051;0.83846;0.49064;1.38051
2023-01-14 Kl. 20-21;1.33986;1.33986;0.79515;0.48498;1.33986
2023-01-14 Kl. 21-22;1.28611;1.28611;0.69500;0.46722;1.28611
2023-01-14 Kl. 22-23;1.20910;1.20910;0.56316;0.42839;1.26405
2023-01-14 Kl. 23-00;0.89435;0.89435;0.47225;0.37780;1.25323
2023-01-15 Kl. 00-01;0.77738;0.77738;0.36668;0.29334;1.31441
2023-01-15 Kl. 01-02;0.36440;0.36440;0.36440;0.29152;1.31228
2023-01-15 Kl. 02-03;0.32493;0.32493;0.32493;0.25994;1.33128
