Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2024-01-02 Kl. 10-11;0.99661;0.99661;0.96718;0.49814;0.99661
2024-01-02 Kl. 11-12;1.03110;1.03110;1.03110;0.49814;1.03110
2024-01-02 Kl. 12-13;1.09589;1.09589;1.09589;0.50330;1.09589
2024-01-02 Kl. 13-14;1.10584;1.10584;1.10584;0.52786;1.10584
2024-01-02 Kl. 14-15;1.11103;1.11103;1.11103;0.54817;1.11103
2024-01-02 Kl. 15-16;1.12113;1.12113;1.12113;0.55669;1.12113
2024-01-02 Kl. 16-17;1.14215;1.14215;1.14215;0.52012;1.14215
2024-01-02 Kl. 17-18;1.13459;1.13459;1.13459;0.49881;1.13459
2024-01-02 Kl. 18-19;1.05088;1.05088;1.05088;0.49376;1.05088
2024-01-02 Kl. 19-20;0.93619;0.93619;0.88585;0.47784;0.93619
2024-01-02 Kl. 20-21;0.91025;0.91025;0.80074;0.49870;0.91025
2024-01-02 Kl. 21-22;0.90338;0.90338;0.67358;0.48131;0.90338
2024-01-02 Kl. 22-23;0.87786;0.87786;0.63698;0.45361;0.87786
2024-01-02 Kl. 23-00;0.82949;0.82949;0.59589;0.42826;0.83060
2024-01-03 Kl. 00-01;0.81415;0.81415;0.57271;0.45413;0.81415
2024-01-03 Kl. 01-02;0.81962;0.81962;0.55040;0.42976;0.81962
2024-01-03 Kl. 02-03;0.81991;0.81991;0.52443;0.37878;0.81991
2024-01-03 Kl. 03-04;0.78384;0.78384;0.50773;0.37721;0.78384
2024-01-03 Kl. 04-05;0.76545;0.76545;0.53636;0.40034;0.76545
2024-01-03 Kl. 05-06;0.81991;0.81991;0.59770;0.45087;0.81991
2024-01-03 Kl. 06-07;0.88012;0.88012;0.69400;0.50040;0.88012
2024-01-03 Kl. 07-08;0.90975;0.90975;0.75141;0.50006;0.90975
2024-01-03 Kl. 08-09;0.92084;0.92084;0.89108;0.48366;0.92084
2024-01-03 Kl. 09-10;0.92561;0.92561;0.91228;0.50051;0.92561
2024-01-03 Kl. 10-11;0.93235;0.93235;0.84490;0.52622;0.93235
2024-01-03 Kl. 11-12;0.92546;0.92546;0.84166;0.51286;0.92546
2024-01-03 Kl. 12-13;0.92084;0.92084;0.83943;0.54105;0.92084
2024-01-03 Kl. 13-14;0.91845;0.91453;0.82623;0.55070;0.91845
2024-01-03 Kl. 14-15;0.92309;0.92309;0.91228;0.55879;0.92309
2024-01-03 Kl. 15-16;0.97390;0.97390;0.96618;0.53880;0.97390
2024-01-03 Kl. 16-17;1.03299;1.03299;1.03299;0.51320;1.03299
2024-01-03 Kl. 17-18;1.15498;1.15498;1.15498;0.50287;1.15498
2024-01-03 Kl. 18-19;1.16466;1.16466;1.16466;0.50062;1.16466
2024-01-03 Kl. 19-20;1.10935;1.10935;1.10935;0.50017;1.10935
2024-01-03 Kl. 20-21;1.02794;1.02794;1.02794;0.50017;1.02794
2024-01-03 Kl. 21-22;0.97138;0.97138;0.94624;0.49579;0.97138
2024-01-03 Kl. 22-23;0.91831;0.91831;0.91241;0.47243;0.91831
2024-01-03 Kl. 23-00;0.89542;0.89542;0.81584;0.45166;0.89542
2024-01-04 Kl. 00-01;0.90643;0.90643;0.83111;0.44813;0.90643
2024-01-04 Kl. 01-02;0.89369;0.89369;0.75878;0.42809;0.89369
2024-01-04 Kl. 02-03;0.88633;0.88633;0.77066;0.42809;0.88633
2024-01-04 Kl. 03-04;0.88349;0.88349;0.78114;0.42809;0.88349
2024-01-04 Kl. 04-05;0.87883;0.87883;0.82460;0.42809;0.87883
2024-01-04 Kl. 05-06;0.91265;0.91265;0.83734;0.48347;0.91265
2024-01-04 Kl. 06-07;1.02845;0.99631;1.02845;0.49830;1.02845
2024-01-04 Kl. 07-08;1.20356;1.20356;1.20356;0.48109;1.20356
2024-01-04 Kl. 08-09;1.29488;1.29488;1.29488;0.51744;1.29488
2024-01-04 Kl. 09-10;1.33353;1.33353;1.33353;0.55651;1.33353
2024-01-04 Kl. 10-11;1.30210;1.30210;1.30210;0.56308;1.30210
2024-01-04 Kl. 11-12;1.27973;1.27973;1.27973;0.56546;1.27973
2024-01-04 Kl. 12-13;1.22721;1.22721;1.22721;0.59807;1.22721
2024-01-04 Kl. 13-14;1.21688;1.21688;1.21688;0.60849;1.21688
2024-01-04 Kl. 14-15;1.30394;1.30394;1.30394;0.65447;1.30394
2024-01-04 Kl. 15-16;1.39609;1.39609;1.39609;0.65447;1.39609
2024-01-04 Kl. 16-17;1.49674;1.49674;1.49674;0.64824;1.49674
2024-01-04 Kl. 17-18;1.88604;1.88604;1.88604;0.59819;1.88604
2024-01-04 Kl. 18-19;2.04770;2.04770;2.04770;0.55651;2.04770
2024-01-04 Kl. 19-20;1.76954;1.71815;1.71815;0.52514;1.71815
2024-01-04 Kl. 20-21;1.46645;1.42384;1.42384;0.55651;1.42384
2024-01-04 Kl. 21-22;1.41578;1.37471;1.37471;0.51755;1.37471
2024-01-04 Kl. 22-23;1.34286;1.30394;1.33465;0.49830;1.33465
2024-01-04 Kl. 23-00;1.25750;1.22098;1.25750;0.44870;1.25750
2024-01-05 Kl. 00-01;1.25161;1.25161;1.25161;0.42462;1.25161
2024-01-05 Kl. 01-02;1.17074;1.17074;1.17074;0.41470;1.17074
2024-01-05 Kl. 02-03;1.12720;1.11973;1.12720;0.39948;1.12720
2024-01-05 Kl. 03-04;1.12959;1.06224;1.12959;0.40117;1.12959
2024-01-05 Kl. 04-05;1.16228;1.07450;1.16228;0.40985;1.16228
2024-01-05 Kl. 05-06;1.24189;1.05999;1.24189;0.45313;1.24189
2024-01-05 Kl. 06-07;1.54694;1.10818;1.54694;0.46700;1.54694
2024-01-05 Kl. 07-08;2.32499;1.19018;2.32499;0.49867;2.32499
2024-01-05 Kl. 08-09;4.21304;1.22555;2.80771;0.54286;2.80771
2024-01-05 Kl. 09-10;3.51009;1.29881;3.35778;0.60632;3.35778
2024-01-05 Kl. 10-11;3.60506;1.31728;3.60506;0.66832;3.60506
2024-01-05 Kl. 11-12;2.97454;1.34376;2.97454;0.66832;2.97454
2024-01-05 Kl. 12-13;2.86421;1.26190;2.86421;0.66832;2.86421
2024-01-05 Kl. 13-14;2.77544;1.25246;2.77544;0.66832;2.77544
2024-01-05 Kl. 14-15;2.78784;1.31910;2.78784;0.66843;2.78784
2024-01-05 Kl. 15-16;4.22614;1.36884;4.22614;0.66843;4.22614
2024-01-05 Kl. 16-17;6.33541;1.40871;6.33541;0.66832;6.33541
2024-01-05 Kl. 17-18;7.41484;1.46902;7.41484;0.66832;7.41484
2024-01-05 Kl. 18-19;4.93079;1.57356;4.93079;0.60643;4.93079
2024-01-05 Kl. 19-20;2.56310;1.42239;2.56310;0.60643;2.56310
2024-01-05 Kl. 20-21;2.10786;1.45239;2.10786;0.60643;2.10786
2024-01-05 Kl. 21-22;1.58963;1.36673;1.58963;0.60632;1.58963
2024-01-05 Kl. 22-23;1.41040;1.37730;1.41040;0.57374;1.41040
2024-01-05 Kl. 23-00;1.30854;1.25950;1.30854;0.54804;1.30854
2024-01-06 Kl. 00-01;1.19941;1.19941;1.19941;0.60095;1.19941
2024-01-06 Kl. 01-02;1.17568;1.16960;1.17568;0.53979;1.17568
2024-01-06 Kl. 02-03;1.15914;1.11011;1.15914;0.52781;1.15914
2024-01-06 Kl. 03-04;1.16126;1.06475;1.16126;0.50079;1.16126
2024-01-06 Kl. 04-05;1.16621;1.06475;1.16621;0.52487;1.16621
2024-01-06 Kl. 05-06;1.18881;1.08779;1.18881;0.53335;1.18881
2024-01-06 Kl. 06-07;1.19376;1.09513;1.19376;0.54737;1.19376
2024-01-06 Kl. 07-08;1.23545;1.18698;1.23545;0.59779;1.23545
2024-01-06 Kl. 08-09;1.28406;1.28406;1.28406;0.69399;1.28406
2024-01-06 Kl. 09-10;1.34214;1.34214;1.34214;0.72564;1.34214
2024-01-06 Kl. 10-11;1.41886;1.41886;1.41886;0.69410;1.41886
2024-01-06 Kl. 11-12;1.46465;1.46465;1.46465;0.60095;1.46465
2024-01-06 Kl. 12-13;1.44600;1.44600;1.44600;0.52781;1.44600
2024-01-06 Kl. 13-14;1.38127;1.38127;1.38127;0.50079;1.38127
2024-01-06 Kl. 14-15;1.34963;1.34963;1.34963;0.50034;1.34963
2024-01-06 Kl. 15-16;1.39188;1.38114;1.39188;0.48530;1.39188
2024-01-06 Kl. 16-17;1.55438;1.45306;1.55438;0.44800;1.55438
2024-01-06 Kl. 17-18;1.67124;1.52358;1.67124;0.50011;1.67124
2024-01-06 Kl. 18-19;1.51114;1.51114;1.51114;0.50057;1.51114
2024-01-06 Kl. 19-20;1.44515;1.44515;1.44515;0.50034;1.44515
2024-01-06 Kl. 20-21;1.34214;1.34214;1.34214;0.52792;1.34214
2024-01-06 Kl. 21-22;1.28066;1.28066;1.28066;0.52792;1.28066
2024-01-06 Kl. 22-23;1.26244;1.26244;1.26244;0.52781;1.26244
2024-01-06 Kl. 23-00;1.17002;1.16479;1.17002;0.49989;1.17002
2024-01-07 Kl. 00-01;1.21998;1.21998;1.21998;0.42404;1.21998
2024-01-07 Kl. 01-02;1.16773;1.16773;1.16773;0.42404;1.16773
2024-01-07 Kl. 02-03;1.12184;1.12184;1.12184;0.42676;1.12184
2024-01-07 Kl. 03-04;1.09791;1.09791;1.09791;0.41520;1.09791
2024-01-07 Kl. 04-05;1.08885;1.06945;1.08885;0.39980;1.08885
2024-01-07 Kl. 05-06;1.09635;1.07596;1.09635;0.35505;1.09635
2024-01-07 Kl. 06-07;1.11094;1.09579;1.11094;0.33488;1.11094
2024-01-07 Kl. 07-08;1.13813;1.13813;1.13813;0.33919;1.13813
2024-01-07 Kl. 08-09;1.19250;1.19250;1.19250;0.34270;1.19250
2024-01-07 Kl. 09-10;1.24009;1.24009;1.24009;0.34451;1.24009
2024-01-07 Kl. 10-11;1.27096;1.27096;1.27096;0.34259;1.27096
2024-01-07 Kl. 11-12;1.30268;1.30268;1.18429;0.34802;1.30268
2024-01-07 Kl. 12-13;1.29574;1.29574;1.07695;0.35165;1.29574
2024-01-07 Kl. 13-14;1.23938;1.23938;0.96295;0.34746;1.23938
2024-01-07 Kl. 14-15;1.23528;1.23528;0.91835;0.32740;1.23528
2024-01-07 Kl. 15-16;1.28356;1.28356;0.90278;0.32661;1.28356
2024-01-07 Kl. 16-17;1.36244;1.36244;0.85335;0.32661;1.36244
2024-01-07 Kl. 17-18;1.47658;1.47658;0.85306;0.32253;1.47658
2024-01-07 Kl. 18-19;1.50235;1.50235;0.85235;0.31710;1.50235
2024-01-07 Kl. 19-20;1.46638;1.46638;0.81015;0.31664;1.46638
2024-01-07 Kl. 20-21;1.42319;1.42319;0.78155;0.32242;1.42319
2024-01-07 Kl. 21-22;1.32138;1.32138;0.84726;0.32661;1.32138
2024-01-07 Kl. 22-23;1.29106;1.29106;0.82630;0.32491;1.29106
2024-01-07 Kl. 23-00;1.18755;1.18755;0.82843;0.31404;1.18755
2024-01-08 Kl. 00-01;1.23230;1.23230;0.76555;0.32661;1.23230
2024-01-08 Kl. 01-02;1.19406;1.19406;0.76838;0.32661;1.19406
2024-01-08 Kl. 02-03;1.15866;1.15866;0.77490;0.32729;1.15866
2024-01-08 Kl. 03-04;1.14181;1.14181;0.77871;0.35142;1.14181
2024-01-08 Kl. 04-05;1.11929;1.11929;0.79458;0.40659;1.11929
2024-01-08 Kl. 05-06;1.16263;1.16263;0.82319;0.42970;1.16263
2024-01-08 Kl. 06-07;1.33539;1.33539;0.77900;0.45508;1.33539
2024-01-08 Kl. 07-08;1.57500;1.52756;0.90178;0.50198;1.52756
2024-01-08 Kl. 08-09;1.71505;1.66535;0.93746;0.53846;1.66535
2024-01-08 Kl. 09-10;1.70966;1.70966;0.92175;0.53110;1.70966
2024-01-08 Kl. 10-11;1.61295;1.61295;0.84485;0.50232;1.61295
2024-01-08 Kl. 11-12;1.49456;1.43565;0.78891;0.47207;1.43565
2024-01-08 Kl. 12-13;1.38553;1.31316;0.77305;0.43673;1.31316
2024-01-08 Kl. 13-14;1.34360;1.31019;0.74770;0.43242;1.31019
2024-01-08 Kl. 14-15;1.45095;1.40705;0.73808;0.42710;1.40705
2024-01-08 Kl. 15-16;1.56679;1.48479;0.71584;0.45485;1.48479
2024-01-08 Kl. 16-17;1.81263;1.70273;0.71541;0.42710;1.70273
2024-01-08 Kl. 17-18;1.87365;1.77594;0.69673;0.38246;1.77594
2024-01-08 Kl. 18-19;1.84109;1.78770;0.66755;0.33896;1.63349
2024-01-08 Kl. 19-20;1.72935;1.67907;0.66571;0.32661;1.58476
2024-01-08 Kl. 20-21;1.61734;1.57046;0.66218;0.33420;1.57046
2024-01-08 Kl. 21-22;1.41399;1.41399;0.67789;0.32661;1.41399
2024-01-08 Kl. 22-23;1.37476;1.37476;0.68299;0.32401;1.37476
2024-01-08 Kl. 23-00;1.25793;1.25793;0.67477;0.31483;1.25793
2024-01-09 Kl. 00-01;1.21426;1.21426;0.39386;0.31509;1.21426
2024-01-09 Kl. 01-02;1.19878;1.19878;0.37992;0.30394;1.19878
2024-01-09 Kl. 02-03;1.17319;1.17319;0.37424;0.29939;1.17319
2024-01-09 Kl. 03-04;1.16125;1.16125;0.37339;0.29871;1.16125
2024-01-09 Kl. 04-05;1.18299;1.18299;0.38206;0.30565;1.18299
2024-01-09 Kl. 05-06;1.22720;1.22720;0.39726;0.31781;1.22720
2024-01-09 Kl. 06-07;1.26472;1.26472;0.40168;0.32134;1.26472
2024-01-09 Kl. 07-08;1.34857;1.34857;0.61275;0.39980;1.34857
2024-01-09 Kl. 08-09;1.83511;1.83511;0.67828;0.40833;1.83511
2024-01-09 Kl. 09-10;1.66526;1.66526;0.68169;0.39900;1.66526
2024-01-09 Kl. 10-11;1.56221;1.56221;0.69546;0.39116;1.56221
2024-01-09 Kl. 11-12;1.45689;1.45689;0.69546;0.39775;1.45689
2024-01-09 Kl. 12-13;1.38028;1.38028;0.71466;0.40969;1.38028
2024-01-09 Kl. 13-14;1.38853;1.38853;0.71806;0.41936;1.38853
2024-01-09 Kl. 14-15;1.52725;1.52725;0.71821;0.40059;1.52725
2024-01-09 Kl. 15-16;1.64436;1.64436;0.72446;0.41026;1.64436
2024-01-09 Kl. 16-17;1.76078;1.76078;0.73512;0.40673;1.76078
2024-01-09 Kl. 17-18;1.89836;1.89836;0.70855;0.39616;1.89836
2024-01-09 Kl. 18-19;1.89794;1.89794;0.70826;0.37967;1.89794
2024-01-09 Kl. 19-20;1.79631;1.79631;0.69633;0.39320;1.79631
2024-01-09 Kl. 20-21;1.65603;1.65603;0.69561;0.38104;1.65603
2024-01-09 Kl. 21-22;1.42079;1.42079;0.66804;0.37433;1.42079
2024-01-09 Kl. 22-23;1.30324;1.30324;0.69405;0.35375;1.30324
2024-01-09 Kl. 23-00;1.29215;1.29215;0.64459;0.34488;1.29215
2024-01-10 Kl. 00-01;1.22573;1.22573;0.72238;0.32505;1.22573
2024-01-10 Kl. 01-02;1.19103;1.19103;0.70126;0.32323;1.19103
2024-01-10 Kl. 02-03;1.19060;1.19060;0.67166;0.31723;1.19060
2024-01-10 Kl. 03-04;1.18181;1.18181;0.63709;0.31054;1.18181
2024-01-10 Kl. 04-05;1.18479;1.18479;0.59459;0.31009;1.18479
2024-01-10 Kl. 05-06;1.16808;1.16808;0.56682;0.29297;1.16808
2024-01-10 Kl. 06-07;1.17218;1.17218;0.59389;0.29853;1.17218
2024-01-10 Kl. 07-08;1.37264;1.37264;0.65891;0.31043;1.37264
2024-01-10 Kl. 08-09;1.93946;1.93946;0.69914;0.31383;1.93946
2024-01-10 Kl. 09-10;1.79000;1.79000;0.72776;0.31995;1.79000
2024-01-10 Kl. 10-11;1.62751;1.62751;0.72748;0.32210;1.62751
2024-01-10 Kl. 11-12;1.50128;1.50128;0.71529;0.32391;1.50128
2024-01-10 Kl. 12-13;1.39999;1.39999;0.71643;0.32471;1.39999
2024-01-10 Kl. 13-14;1.29614;1.29614;0.71374;0.31507;1.29614
2024-01-10 Kl. 14-15;1.55001;1.55001;0.70949;0.31088;1.55001
2024-01-10 Kl. 15-16;1.69948;1.69948;0.70779;0.30453;1.69948
2024-01-10 Kl. 16-17;1.72923;1.72923;0.71246;0.29830;1.72923
2024-01-10 Kl. 17-18;1.97191;1.97191;0.69659;0.30079;1.97191
2024-01-10 Kl. 18-19;1.92190;1.92190;0.71034;0.29399;1.92190
2024-01-10 Kl. 19-20;1.81423;1.81423;0.70325;0.28776;1.81423
2024-01-10 Kl. 20-21;1.64734;1.64734;0.70014;0.28436;1.64734
2024-01-10 Kl. 21-22;1.42408;1.42408;0.66373;0.28697;1.42408
2024-01-10 Kl. 22-23;1.26739;1.26739;0.63610;0.28017;1.26739
2024-01-10 Kl. 23-00;1.20476;1.20476;0.60791;0.27495;1.20476
2024-01-11 Kl. 00-01;1.25475;1.25475;0.53394;0.28940;1.25475
2024-01-11 Kl. 01-02;1.21156;1.21156;0.54340;0.29233;1.21156
2024-01-11 Kl. 02-03;1.19321;1.19321;0.57515;0.29335;1.19321
2024-01-11 Kl. 03-04;1.12674;1.12674;0.62751;0.30498;1.12674
2024-01-11 Kl. 04-05;1.12306;1.12306;0.71009;0.32485;1.12306
2024-01-11 Kl. 05-06;1.18206;1.18206;0.73366;0.38797;1.18206
2024-01-11 Kl. 06-07;1.22426;1.22426;0.83204;0.47356;1.22426
2024-01-11 Kl. 07-08;1.55355;1.55355;0.98884;0.60420;1.43443
2024-01-11 Kl. 08-09;1.92843;1.92843;1.01510;0.67184;1.92843
2024-01-11 Kl. 09-10;1.76470;1.76470;1.01114;0.72491;1.76470
2024-01-11 Kl. 10-11;1.55270;1.55270;1.01849;0.80428;1.55270
2024-01-11 Kl. 11-12;1.45786;1.45786;1.05730;0.84584;1.45786
2024-01-11 Kl. 12-13;1.35920;1.35920;1.03556;0.82845;1.35920
2024-01-11 Kl. 13-14;1.35398;1.35398;1.04008;0.83206;1.35398
2024-01-11 Kl. 14-15;1.44939;1.44939;1.04191;0.83353;1.44939
2024-01-11 Kl. 15-16;1.61325;1.61325;1.00254;0.80203;1.61325
2024-01-11 Kl. 16-17;1.87846;1.87846;0.88764;0.71011;1.87846
2024-01-11 Kl. 17-18;2.05278;2.05278;0.83895;0.66382;2.05278
2024-01-11 Kl. 18-19;1.86943;1.86943;0.83570;0.57801;1.86943
2024-01-11 Kl. 19-20;1.80959;1.80959;0.76485;0.53690;1.80959
2024-01-11 Kl. 20-21;1.61213;1.61213;0.69979;0.53329;1.37261
2024-01-11 Kl. 21-22;1.46449;1.46449;0.65363;0.52290;1.43005
2024-01-11 Kl. 22-23;1.33365;1.33365;0.61961;0.49569;1.33365
2024-01-11 Kl. 23-00;1.21015;1.21015;0.59294;0.46848;1.21015
2024-01-12 Kl. 00-01;1.22471;1.22471;0.63635;0.49934;1.22471
2024-01-12 Kl. 01-02;1.17900;1.17900;0.63805;0.49594;1.17900
2024-01-12 Kl. 02-03;1.14998;1.14998;0.63720;0.49606;1.14998
2024-01-12 Kl. 03-04;1.13003;1.13003;0.62912;0.49911;1.13003
2024-01-12 Kl. 04-05;1.13200;1.13200;0.62446;0.49957;1.13200
2024-01-12 Kl. 05-06;1.15776;1.15776;0.62530;0.50024;1.15776
2024-01-12 Kl. 06-07;1.22655;1.22655;0.62191;0.49753;1.22655
2024-01-12 Kl. 07-08;1.58323;1.58323;0.65771;0.52617;1.43347
2024-01-12 Kl. 08-09;1.93026;1.93026;0.68305;0.52583;1.58110
2024-01-12 Kl. 09-10;1.85101;1.85101;0.70131;0.56105;1.64154
2024-01-12 Kl. 10-11;1.67324;1.67324;0.73854;0.59083;1.63856
2024-01-12 Kl. 11-12;1.57685;1.57685;0.78808;0.63046;1.57685
2024-01-12 Kl. 12-13;1.46730;1.46730;0.88304;0.65775;1.46730
2024-01-12 Kl. 13-14;1.41366;1.41366;0.93485;0.65775;1.41366
2024-01-12 Kl. 14-15;1.43376;1.43376;0.98551;0.65775;1.43376
2024-01-12 Kl. 15-16;1.51175;1.51175;0.99444;0.61823;1.51175
2024-01-12 Kl. 16-17;1.64918;1.64918;0.97929;0.61812;1.49547
2024-01-12 Kl. 17-18;1.75221;1.75221;0.92154;0.59966;1.46349
2024-01-12 Kl. 18-19;1.73169;1.73169;0.90286;0.59966;1.43914
2024-01-12 Kl. 19-20;1.64196;1.64196;0.82473;0.59875;1.40659
2024-01-12 Kl. 20-21;1.47240;1.47240;0.76175;0.57350;1.44084
2024-01-12 Kl. 21-22;1.25641;1.25641;0.69664;0.55731;1.25641
2024-01-12 Kl. 22-23;1.17234;1.17234;0.68036;0.54429;1.17234
2024-01-12 Kl. 23-00;1.13370;1.13370;0.65290;0.52232;1.13370
2024-01-13 Kl. 00-01;1.08035;1.08035;0.70036;0.56029;1.08035
2024-01-13 Kl. 01-02;1.05499;1.05499;0.65724;0.52579;1.05499
2024-01-13 Kl. 02-03;1.04893;1.04893;0.62016;0.49613;1.04893
2024-01-13 Kl. 03-04;1.03596;1.03596;0.59860;0.47888;1.03596
2024-01-13 Kl. 04-05;1.01820;1.01820;0.59959;0.47967;1.01820
2024-01-13 Kl. 05-06;0.99860;0.99860;0.61354;0.49083;0.99860
2024-01-13 Kl. 06-07;0.97564;0.97564;0.64300;0.51440;0.97564
2024-01-13 Kl. 07-08;0.99451;0.99451;0.72165;0.55026;0.99451
2024-01-13 Kl. 08-09;1.02215;1.02215;0.81650;0.52962;1.02215
2024-01-13 Kl. 09-10;1.03328;1.03328;0.83398;0.53729;1.03328
2024-01-13 Kl. 10-11;1.02905;1.02905;0.83455;0.55026;1.02905
2024-01-13 Kl. 11-12;1.01834;1.01834;0.82270;0.55026;1.01834
2024-01-13 Kl. 12-13;0.99451;0.99451;0.79213;0.55026;0.99451
2024-01-13 Kl. 13-14;0.95689;0.95689;0.79437;0.55026;0.95689
2024-01-13 Kl. 14-15;0.98578;0.98578;0.83398;0.57788;0.98578
2024-01-13 Kl. 15-16;0.99664;0.99664;0.92644;0.57732;0.99664
2024-01-13 Kl. 16-17;1.02665;1.02665;0.92588;0.59423;1.02665
2024-01-13 Kl. 17-18;1.04610;1.04610;0.87500;0.60179;1.04610
2024-01-13 Kl. 18-19;1.06851;1.06851;0.79029;0.61002;1.06851
2024-01-13 Kl. 19-20;1.04046;1.04046;0.78634;0.62907;1.04046
2024-01-13 Kl. 20-21;1.02975;1.02975;0.79339;0.63471;1.02975
2024-01-13 Kl. 21-22;0.99974;0.99974;0.83370;0.66290;0.99974
2024-01-13 Kl. 22-23;0.95365;0.95365;0.88457;0.62919;0.95365
2024-01-13 Kl. 23-00;0.93236;0.93236;0.86894;0.62919;0.93236
2024-01-14 Kl. 00-01;0.93198;0.93198;0.90305;0.67697;0.93198
2024-01-14 Kl. 01-02;0.90419;0.90419;0.87611;0.67697;0.90419
2024-01-14 Kl. 02-03;0.91618;0.91618;0.88768;0.65000;0.91618
2024-01-14 Kl. 03-04;0.93183;0.93183;0.90291;0.63533;0.93183
2024-01-14 Kl. 04-05;0.94143;0.94143;0.91223;0.63533;0.94143
2024-01-14 Kl. 05-06;0.94989;0.94989;0.91970;0.63521;0.94989
2024-01-14 Kl. 06-07;0.97909;0.97909;0.94946;0.63521;0.97909
2024-01-14 Kl. 07-08;1.03480;1.03480;1.01083;0.63521;1.03480
2024-01-14 Kl. 08-09;1.08248;1.08248;1.08248;0.66004;1.08248
2024-01-14 Kl. 09-10;1.14455;1.14455;1.14455;0.70078;1.14455
2024-01-14 Kl. 10-11;1.13735;1.13735;1.13735;0.81859;1.13735
2024-01-14 Kl. 11-12;1.15441;1.15441;1.15441;0.92353;1.15441
2024-01-14 Kl. 12-13;1.13396;1.13396;1.13396;0.90717;1.13396
2024-01-14 Kl. 13-14;1.08671;1.08671;1.08671;0.86937;1.08671
2024-01-14 Kl. 14-15;1.11647;1.11647;1.11647;0.89318;1.11647
2024-01-14 Kl. 15-16;1.16119;1.16119;1.13030;0.90424;1.16119
2024-01-14 Kl. 16-17;1.22185;1.22185;1.09334;0.87467;1.22185
2024-01-14 Kl. 17-18;1.29576;1.29576;1.05864;0.84691;1.29576
2024-01-14 Kl. 18-19;1.33498;1.33498;1.05596;0.84477;1.33498
2024-01-14 Kl. 19-20;1.20266;1.20266;1.04326;0.83461;1.20266
2024-01-14 Kl. 20-21;1.11520;1.11520;1.04185;0.83348;1.11520
2024-01-14 Kl. 21-22;1.10604;1.10604;1.03960;0.83168;1.10604
2024-01-14 Kl. 22-23;1.05328;1.05328;1.03213;0.82570;1.05328
2024-01-14 Kl. 23-00;0.97810;0.97810;0.94354;0.75483;0.97810
2024-01-15 Kl. 00-01;0.98248;0.98248;0.98248;0.78598;0.98248
2024-01-15 Kl. 01-02;0.94621;0.94621;0.94621;0.74535;0.94621
2024-01-15 Kl. 02-03;0.93070;0.93070;0.93070;0.72572;0.93070
