Eiendom,Spotprisår,Kostnad for vannbåren varme (kr),Kilde vannbåren varme,Kilde andre kostnader,Beregningstid (år),Diskonteringsrente (%),Nåverdi bergvarme (kr),Nåverdi luft-luft-varmepumpe (kr),Differanse (kr),Forklaring
Markalleen 26B,2023,276540,Asplan Viak,Sweco,30,4,57136,22094,35042,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,50,6,14135,-89391,103526,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,40,4,142158,61999,80159,Bergvarme er lønnsom
Markalleen 26B,2024,76500,Sweco,Asplan Viak,60,6,24378,-82261,106639,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,50,4,187921,96985,90936,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,30,4,57136,22094,35042,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,60,4,226724,123723,103001,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,40,4,142158,61999,80159,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,30,5,1424,-17075,18499,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,50,4,187921,96985,90936,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,40,5,62751,11164,51587,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,60,4,226724,123723,103001,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,50,5,92439,34306,58133,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,30,5,1424,-17075,18499,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,60,5,115552,50232,65320,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,40,5,62751,11164,51587,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,30,6,-45542,-49898,4356,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,50,5,92439,34306,58133,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,40,6,-1136,-29848,28712,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,60,5,115552,50232,65320,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,50,6,18210,-14466,32676,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,30,6,-45542,-49898,4356,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,60,6,32056,-4925,36981,Bergvarme er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,40,6,-1136,-29848,28712,Bergvarme er lønnsom
Markalleen 26B,2024,276540,Asplan Viak,Sweco,30,4,-82070,-71130,-10940,Luft-vann-varmepumpe er lønnsom
Markalleen 26B,2023,276540,Asplan Viak,Sweco,50,6,18210,-14466,32676,Bergvarme er lønnsom
